
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   4204 Services                   0      7,768 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ctfmon.exe                    2412 Console                    1     19,792 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 N/A                                                                     
svchost.exe                   4208 Console                    1     20,952 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
RuntimeBroker.exe             5316 Console                    1     32,212 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:02 N/A                                                                     
svchost.exe                   6584 Console                    1     27,624 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:06 N/A                                                                     
RuntimeBroker.exe             6792 Console                    1     37,064 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 N/A                                                                     
dllhost.exe                   1412 Console                    1     12,640 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
MicrosoftEdgeUpdate.exe       7656 Services                   0      3,632 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1844 Services                   0      8,864 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RuntimeBroker.exe             6884 Console                    1     25,436 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OLEChannelWnd                                                           
powershell.exe                1148 Console                    1     85,852 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 Windows PowerShell                                                      
conhost.exe                   6704 Console                    1     19,440 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
SecurityHealthSystray.exe     6456 Console                    1      9,052 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
svchost.exe                   6240 Services                   0     10,076 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7716 Services                   0     12,272 K Unknown         N/A                                                     0:00:00 N/A                                                                     
M365Copilot.exe               8184 Console                    1     88,984 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 M365 Copilot quick view                                                 
RuntimeBroker.exe             8148 Console                    1     15,168 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            7756 Console                    1      9,012 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 N/A                                                                     
msedgewebview2.exe            4908 Console                    1     10,260 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            6308 Console                    1      4,552 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 OleMainThreadWndName                                                    
msedgewebview2.exe            2812 Console                    1        716 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            1116 Console                    1        660 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
msedgewebview2.exe            7240 Console                    1      2,756 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
OneDrive.exe                  9876 Console                    1     64,804 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:01 N/A                                                                     
